cell_number,neighbours,nation,productivity,national_productivity,border_cell,India,SEA,cell_into_conflict,nation_in_conflict,prod_faced,already_conflict,river,ruggedness,uniform_productivity,uniform_national_productivity,religion,language_group,temp_min,temp_max,religion_1450,ruggedness_vrm,hemid_temp_min,hemid_temp_max,wc_temp_max,wc_temp_min,productivity_gaezv4,national_productivity_gaezv4
417,"385,386,416,418,449,450",417,27.06495488,27.06495488,1,1,0,0,,,0,0,3.21775312,1,1,1,1,177.9786665,282.7665002,1,0.216787492,181.6791667,290.5111667,298.2656801,188.8278601,2605.176,2605.176
418,"386,387,417,419,450,451",418,46.76882532,46.76882532,1,1,0,0,,,0,0,8.124137283,1,1,1,1,195.4026665,306.6785001,1,0.190295256,201.4491667,307.9881667,312.7175732,206.30806,2602.416,2602.416
419,"387,388,418,420,451,452",419,61.65919739,61.65919739,1,1,0,0,,,0,0,3.822966166,1,1,1,1,217.3325001,323.8741663,1,0.255066241,223.5218333,324.6221667,333.5688666,225.7108201,1730.528,1730.528
420,"388,389,419,421,452,453",420,36.06502313,36.06502313,1,1,0,0,,,0,0,6.657698035,1,1,1,1,219.1546667,309.7944996,1,0.290539981,223.1988333,316.5101667,323.0331665,224.7412867,2242.104,2242.104
421,"389,390,420,422,453",421,42.19864555,42.19864555,1,1,0,0,,,0,0,1.278826479,1,1,1,1,239.9561969,321.88141,1,0.453939022,243.3472222,327.1907051,340.8327385,244.2766657,1677.458333,1677.458333
422,"390,421",422,38.45747879,38.45747879,1,1,0,0,,,0,0,2.375201079,1,1,1,1,242.072854,317.5234538,1,0.384284803,245.010978,320.6806387,330.8545901,245.5337083,1810.833333,1810.833333
423,"391,424,454",423,0.968434647,0.968434647,1,0,0,0,,,0,0,3.081509702,1,1,2,8,45.20046853,188.3562581,3,0.434949774,55.87583668,200.1875837,195.0731257,48.58910278,0.0001,0.0001
424,"391,392,423,425,454,455",424,0.001,0.001,1,0,0,0,,,0,0,4.155233398,1,1,2,8,49.03296531,191.0199128,3,0.283142003,57.23962517,198.2332664,204.7307505,48.58951759,0.0001,0.0001
425,"392,393,424,426,455,456",425,0.187482017,0.187482017,1,0,0,0,,,0,0,2.257078948,1,1,2,8,53.86813927,192.9583334,3,0.353922832,63.29250335,202.2414659,203.0529523,50.59953802,0.0001,0.0001
426,"393,394,425,427,456,457",426,0.195471803,0.195471803,1,0,0,0,,,0,0,41.01523932,1,1,2,8,-44.70230934,92.16951139,3,0.108014776,-33.12784471,103.1402276,94.70380849,-36.64744316,0.0001,0.0001
427,"394,395,426,428,457,458",427,0.101349831,0.101349831,1,0,0,0,,,0,0,22.78019388,1,1,2,8,-135.6238288,-5.114123168,3,0.089442127,-127.9250335,10.32128514,-3.197570291,-144.7618006,0.0001,0.0001
428,"395,396,427,429,458,459",428,0.231185995,0.231185995,1,1,0,0,,,0,0,18.69390427,1,1,2,8,-140.2421354,-12.55973897,3,0.147163553,-136.2299197,6.694109772,-19.78875504,-154.195569,0.0001,0.0001
429,"396,397,428,430,459,460",429,0.673958033,0.673958033,1,1,0,0,,,0,0,24.92062195,1,1,2,8,-112.3892237,18.56743643,3,0.069019047,-107.3057229,37.32161981,8.41129856,-118.4519143,0.0001,0.0001
430,"397,398,429,431,460,461",430,1.271596112,1.271596112,1,1,0,0,,,0,0,21.46872329,1,1,2,8,-95.63253001,29.96971223,3,0.091352616,-91.73042169,44.76539491,24.19380851,-104.4929117,3.5,3.5
431,"398,399,430,432,461,462",431,0.720710621,0.720710621,1,1,0,0,,,0,0,32.4997864,1,1,2,8,-64.84303877,44.34805893,3,0.076895713,-60.52426372,57.95498661,35.85111118,-76.82220214,592.9112903,592.9112903
432,"399,400,431,433,462,463",432,8.628294332,8.628294332,1,1,0,0,,,0,0,38.4909729,1,1,2,8,21.38721559,114.2049866,2,0.080831865,28.22021419,123.2909973,111.9828782,12.958166,1079.225806,1079.225806
433,"400,401,432,434,463,464",433,20.82856409,20.82856409,1,1,0,0,,,0,1,20.3906573,1,1,1,8,132.2684067,248.7397928,2,0.196415685,145.3908969,245.3457162,262.5247656,148.8701272,3237.806452,3237.806452
434,"401,402,433,435,464,465",434,44.47095127,44.47095127,1,1,0,0,,,0,0,1.226499565,1,1,1,6,174.9196784,300.2166994,2,0.497041419,190.6541165,298.4529786,310.3177174,182.4525299,2833.096774,2833.096774
